id,type,question,answer,docs,faithfulness_old,faithfulness_new,faithfulness_diff,answer_relevancy_old,answer_relevancy_new,answer_relevancy_diff,context_precision_old,context_precision_new,context_precision_diff,context_recall_old,context_recall_new,context_recall_diff,expect
M01,표현 바꾸기,2026년 사업에 잡힌 돈이 얼마지?,문서에 없음,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf,0.0,1.0,1.0,0.0,0.0,0.0,0.9999999999,0.0,-1.0,0.0,0.0,0.0,같아야
M02,무관 문장 붙이기,오늘 비가 오네. 2026년 디지털서비스 개방 API 개발 지원사업의 사업예산은 얼마인가,문서에 없음,07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,같아야
M03,조건 바꾸기,2025년 1차 디지털서비스 개방 API 개발 지원사업의 사업예산은 얼마인가,"1,799,985,414원(부가세 포함)입니다.",02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf,1.0,1.0,0.0,0.21684201413992452,0.2115430522675761,-0.005,0.22499999998875,0.1249999999875,-0.1,1.0,1.0,0.0,달라져야
M04,오타·띄어쓰기,2026년 디지털서비스개방 API개발지원 사업의 사업예산 은을마인가,문서에 없음,07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf,0.0,1.0,1.0,0.0,0.0,0.0,0.19999999998,0.0,-0.2,0.0,0.0,0.0,같아야
M05,표현 바꾸기,2026년에 개방하는 서비스 개수가 몇 개야?,문서에 없음,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,같아야
M06,무관 문장 붙이기,점심은 뭘 먹을까. 2026년 사업의 디지털서비스 개방 대상 서비스는 몇 종인가,문서에 없음,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf,0.0,1.0,1.0,0.0,0.0,0.0,0.9999999999,0.0,-1.0,0.0,0.0,0.0,같아야
M07,조건 바꾸기,2024년 2차 사업의 디지털서비스 개방 대상 서비스는 몇 종인가,문서에 없음,05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,달라져야
M08,오타·띄어쓰기,2026년 사업의 디지털 서비스 개방대상 서비스는 몇종 인가,문서에 없음,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,같아야
M09,표현 바꾸기,2026년에는 API를 뭐로 바꿀 수 있게 만들라는 거야?,문서에 없음,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf,0.0,1.0,1.0,0.0,0.0,0.0,0.5654761904620536,0.0,-0.565,0.0,0.0,0.0,같아야
M10,무관 문장 붙이기,회의가 길었다. 2026년 사업에서 API를 어떤 형태로 전환 가능하게 설계하도록 요구하는가,문서에 없음,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf,0.0,1.0,1.0,0.0,0.0,0.0,0.9999999999875,0.0,-1.0,1.0,0.0,-1.0,같아야
M11,조건 바꾸기,2023년 사업에서 API를 어떤 형태로 전환 가능하게 설계하도록 요구하는가,"2023년 사업에서 API는 REST API로 제공하는 것을 원칙으로 하며, 전자서명, 결제, 민감정보 확인 등 보안·법적 요건상 API 구현이 불가한 경우에는 Web View 연계를 허용할 수 있습니다.",07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf,0.6666666666666666,,,0.5297209256023219,,,0.0,,,1.0,,,달라져야
M12,오타·띄어쓰기,2026년 사업에서 API를 어떤형태로 전환가능 하게 설계 하도록 요구하는가,문서에 없음,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.9617346938638119,0.249999999975,-0.712,1.0,1.0,0.0,같아야
M13,표현 바꾸기,2023년이랑 비교하면 2026년 예산이 얼마나 늘었어?,문서에 없음,03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,같아야
M14,무관 문장 붙이기,커피가 식었다. 2023년 API 개발 지원사업 대비 2026년 사업의 예산은 약 몇 배인가,문서에 없음,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,같아야
M15,조건 바꾸기,2023년 API 개발 지원사업 대비 2024년 1차 사업의 예산은 약 몇 배인가,문서에 없음,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf,0.0,1.0,1.0,0.0,0.0,0.0,0.19642857141875,0.0,-0.196,0.0,0.0,0.0,달라져야
M16,오타·띄어쓰기,2023년 API개발 지원사업 대비2026년 사업의 예산은약 몇배인가,문서에 없음,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,같아야
M17,표현 바꾸기,150일이 아닌 사업이 있었나?,문서에 없음,09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,같아야
M18,무관 문장 붙이기,주말이 기다려진다. 2023년부터 2026년까지 API 개발 지원사업 중 사업기간이 150일이 아닌 사업은,문서에 없음,07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,같아야
M19,조건 바꾸기,2023년부터 2026년까지 API 개발 지원사업 중 사업기간이 150일인 사업은,2023년 디지털서비스 개방 API 개발 지원사업입니다.,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf,1.0,1.0,0.0,0.48843478393009726,0.2833647768408765,-0.205,0.48214285713080357,0.0,-0.482,0.0,0.0,0.0,달라져야
M20,오타·띄어쓰기,2023년부터2026년 까지 API 개발지원 사업중 사업 기간이 150일이아닌 사업은,"2023년 디지털서비스 개방 API 개발 지원사업의 사업 기간이 150일입니다. 문서에 따르면 2024년, 2025년, 2026년 사업의 기간에 대한 정보는 명시되어 있지 않으므로, 해당 사업의 기간이 150일이 아닌지 여부는 문서에 없음.",01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf,0.6666666666666666,,,0.0,,,0.0,,,0.0,,,같아야
