id,type,question,answer,reference,docs,faithfulness,answer_relevancy,context_precision,context_recall
G01,A,2026년 디지털서비스 개방 API 개발 지원사업의 사업예산은 얼마인가,문서에 없음,"2,948,322,227원(부가세 포함)",07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf,0.0,0.0,0.19999999998,0.0
G02,A,2026년 사업의 디지털서비스 개방 대상 서비스는 몇 종인가,문서에 없음,25종,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf,1.0,0.0,0.0,0.0
G03,A,2026년 사업의 사업기간은,문서에 없음,계약체결일로부터 150일,09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf,1.0,0.0,0.14285714284285714,0.0
G04,A,제안서 평가에서 기술능력과 입찰가격의 비중은 각각 얼마인가,"기술능력 평가 비중은 90%, 입찰가격 평가 비중은 10%입니다.","기술능력 90%, 입찰가격 10%",02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf,1.0,0.5142114775218699,0.9999999999875,1.0
G05,A,하자보수기간은 얼마인가,하자보수기간은 1년입니다.,사업을 종료한 날부터 1년,08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf,1.0,0.9055396619610182,0.788492063478922,1.0
G06,A,2026년 사업에서 API를 어떤 형태로 전환 가능하게 설계하도록 요구하는가,문서에 없음,AI 국민비서 연계를 위한 MCP Tool 전환 가능 API 설계 및 명세 구축,07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf,0.0,0.0,0.9999999999875,1.0
G07,A,요구사항 분류에서 COR는 무엇을 뜻하는가,COR는 '제약사항'을 뜻합니다.,제약사항(표준 지침 준수 등),01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf,1.0,0.6227752078718438,0.7916666666402777,1.0
G08,A,2023년 디지털서비스플랫폼 고도화 사업의 사업기간은,계약 후 210일 이내입니다.,계약 후 210일 이내,08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf,1.0,0.22796821544453527,0.49999999995,1.0
G09,A,2022년 디지털정부서비스 개방 플랫폼 구축 사업의 사업기간은,계약일로부터 240일입니다.,계약일로부터 240일(8개월),09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf,0.0,0.24159952961570155,0.62499999996875,1.0
G10,B,2026년 사업의 낙찰 업체는 어디인가,문서에 없음,문서에 없음,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf,1.0,0.0,0.19999999998,0.0
G11,B,2027년 디지털서비스 개방 API 개발 지원사업의 예산은 얼마인가,문서에 없음,문서에 없음,07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf,1.0,0.0,0.0,0.0
G12,B,이전 연도 사업 수행사가 받은 평가 점수는 몇 점인가,문서에 없음,문서에 없음,09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf,0.0,0.0,0.3333333333,0.0
G13,B,MCP Tool 전환에 사용해야 하는 프레임워크는 무엇으로 지정되어 있는가,문서에 없음,문서에 없음(지정하지 않음),03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf,0.0,0.0,0.8928571428348213,1.0
G14,B,개방 대상 25종 서비스 중 이용률 1위 서비스는 무엇인가,문서에 없음,문서에 없음,05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf,1.0,0.0,0.19999999998,0.0
G15,B,2024년 3차 사업의 실제 계약금액은 얼마인가,문서에 없음,문서에 없음(예산만 있음),03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf,1.0,0.0,0.0,1.0
G16,B,사업 종료 후 하자보수 인력은 몇 명을 배치해야 하는가,문서에 없음,문서에 없음,08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf,1.0,0.0,0.1249999999875,0.0
G17,B,기술평가위원회 평가위원은 몇 명으로 구성되는가,문서에 없음,문서에 없음(인원 수 미기재),01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf,1.0,0.0,0.0,1.0
G18,B,2022년 플랫폼 구축 사업의 실제 준공일은 언제인가,문서에 없음,문서에 없음,09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf,1.0,0.0,0.0,0.0
G19,C,2023년 API 개발 지원사업 대비 2026년 사업의 예산은 약 몇 배인가,문서에 없음,"약 2.27배(1,298,311,371원 → 2,948,322,227원)",01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf,0.0,0.0,0.5694444444254629,1.0
