id,type,question,answer,reference,docs,faithfulness,answer_relevancy,context_precision,context_recall,expect
M01,표현 바꾸기,2026년 사업에 잡힌 돈이 얼마지?,문서에 없음,"2,948,322,227원(부가세 포함)",01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf,0.0,0.0,0.9999999999,0.0,같아야
M02,무관 문장 붙이기,오늘 비가 오네. 2026년 디지털서비스 개방 API 개발 지원사업의 사업예산은 얼마인가,문서에 없음,"2,948,322,227원(부가세 포함)",07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf,1.0,0.0,0.0,0.0,같아야
M03,조건 바꾸기,2025년 1차 디지털서비스 개방 API 개발 지원사업의 사업예산은 얼마인가,"1,799,985,414원(부가세 포함)입니다.","1,799,985,414원(부가세 포함)",02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf,1.0,0.21684201413992452,0.22499999998875,1.0,달라져야
M04,오타·띄어쓰기,2026년 디지털서비스개방 API개발지원 사업의 사업예산 은을마인가,문서에 없음,"2,948,322,227원(부가세 포함)",07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf,0.0,0.0,0.19999999998,0.0,같아야
M05,표현 바꾸기,2026년에 개방하는 서비스 개수가 몇 개야?,문서에 없음,25종,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf,1.0,0.0,0.0,0.0,같아야
M06,무관 문장 붙이기,점심은 뭘 먹을까. 2026년 사업의 디지털서비스 개방 대상 서비스는 몇 종인가,문서에 없음,25종,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf,0.0,0.0,0.9999999999,0.0,같아야
M07,조건 바꾸기,2024년 2차 사업의 디지털서비스 개방 대상 서비스는 몇 종인가,문서에 없음,7종,05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf,1.0,0.0,0.0,0.0,달라져야
M08,오타·띄어쓰기,2026년 사업의 디지털 서비스 개방대상 서비스는 몇종 인가,문서에 없음,25종,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf,1.0,0.0,0.0,0.0,같아야
M09,표현 바꾸기,2026년에는 API를 뭐로 바꿀 수 있게 만들라는 거야?,문서에 없음,AI 국민비서 연계를 위한 MCP Tool 전환 가능,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf,0.0,0.0,0.5654761904620536,0.0,같아야
M10,무관 문장 붙이기,회의가 길었다. 2026년 사업에서 API를 어떤 형태로 전환 가능하게 설계하도록 요구하는가,문서에 없음,AI 국민비서 연계를 위한 MCP Tool 전환 가능,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf,0.0,0.0,0.9999999999875,1.0,같아야
