id,type,question,answer,reference,docs,faithfulness,answer_relevancy,context_precision,context_recall
G01,A,2026년 디지털서비스 개방 API 개발 지원사업의 사업예산은 얼마인가,문서에 없음,"2,948,322,227원(부가세 포함)",07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf,0.0,0.0,0.0,0.0
G02,A,2026년 사업의 디지털서비스 개방 대상 서비스는 몇 종인가,문서에 없음,25종,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf,0.0,0.0,0.0,0.0
G03,A,2026년 사업의 사업기간은,문서에 없음,계약체결일로부터 150일,04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf,0.0,0.0,0.3333333333,0.0
G04,A,제안서 평가에서 기술능력과 입찰가격의 비중은 각각 얼마인가,기술능력(90%)과 입찰가격(10%)입니다.,"기술능력 90%, 입찰가격 10%",08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf,1.0,0.35774964707176476,0.999999999975,1.0
G05,A,하자보수기간은 얼마인가,하자담보 책임기간은 계약사업자가 본 사업이 종료한 날로부터 1년입니다.,사업을 종료한 날부터 1년,02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf,1.0,0.5543500253167329,0.9999999999666667,1.0
G06,A,2026년 사업에서 API를 어떤 형태로 전환 가능하게 설계하도록 요구하는가,문서에 없음,AI 국민비서 연계를 위한 MCP Tool 전환 가능 API 설계 및 명세 구축,07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf,0.0,0.0,0.999999999975,1.0
G07,A,요구사항 분류에서 COR는 무엇을 뜻하는가,문서에 없음,제약사항(표준 지침 준수 등),08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf,0.0,0.0,0.9166666666361111,1.0
G08,A,2023년 디지털서비스플랫폼 고도화 사업의 사업기간은,문서에 없음,계약 후 210일 이내,08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf,1.0,0.0,0.0,0.0
G09,A,2022년 디지털정부서비스 개방 플랫폼 구축 사업의 사업기간은,계약일로부터 240일입니다.,계약일로부터 240일(8개월),09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf,1.0,0.29186057977475466,0.8333333332916666,1.0
G10,B,2026년 사업의 낙찰 업체는 어디인가,문서에 없음,문서에 없음,01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf,1.0,0.0,0.0,0.0
